,CLASSNAME,landfire140,landfire200,tau,k
62,Appalachian Shale Barrens,3340,7340,,
63,Acadian-Appalachian Subalpine Woodland,3389,7389,,
64,Nashville Basin Limestone Glade and Woodland,3397,7397,,
65,Cumberland Sandstone Glade and Barrens,3398,7398,,
66,Central Appalachian Alkaline Glade and Woodland,3400,7400,,
67,Alabama Ketona Glade and Woodland,3408,7408,,
68,Bluegrass Savanna and Woodland,3413,7441,,
69,Southern Appalachian Shrub Bald,3414,7414,,
70,Western Highland Rim Prairie and Barrens,3416,7416,,
71,Eastern Highland Rim Prairie and Barrens,3417,7417,,
72,Pennyroyal Karst Plain Prairie and Barrens,3418,7418,,
73,Southern Ridge and Valley Patch Prairie,3419,7419,,
74,Northern Atlantic Coastal Plain Dune and Swale Grassland,3248,7248,,
75,Northern Atlantic Coastal Plain Dune and Swale Shrubland,3436,7436,,
80,Hawai'i Lowland Rainforest,3808,7808,,
81,Hawai'i Montane Cloud Forest,3809,7809,,
82,Hawai'i Montane Rainforest,3810,7810,,
83,Hawai'i Lowland Dry Forest,3813,7813,,
84,Hawai'i Montane-Subalpine Dry Forest and Woodland,3815,7815,,
85,Hawai'i Lowland Mesic Forest,3814,7814,,
86,Hawai'i Montane-Subalpine Mesic Forest,3816,7816,,
87,Hawai'i Wet Cliff and Ridge Crest Shrubland,3811,7811,,
88,Hawai'i Lowland Mesic Shrubland,3818,7818,,
89,Hawai'i Alpine Dwarf-Shrubland,3824,7824,,
90,Hawai'i Wet-Mesic Coastal Strand,3827,7827,,
91,Hawai'i Subalpine Mesic Shrubland,3828,7828,,
92,Hawai'i Lowland Dry Shrubland,3817,7817,,
93,Hawai'i Montane-Subalpine Dry Shrubland,3821,7821,,
94,Hawai'i Bog,3806,7806,,
95,Hawai'i Lowland Mesic Grassland,3820,7820,,
96,Hawai'i Montane-Subalpine Mesic Grassland,3823,7823,,
97,Hawai'i Lowland Dry Grassland,3819,7819,,
98,Hawai'i Montane-Subalpine Dry Grassland,3822,7822,,
99,Agriculture-Pasture and Hay,3754,7754,,
100,Agriculture-Cultivated Crops and Irrigated Agriculture,3755,7755,,
103,Western Cool Temperate Bush fruit and berries,3962,7962,,
109,Eastern Cool Temperate Orchard,3970,7970,,
110,Eastern Cool Temperate Vineyard,3971,7971,,
111,Eastern Cool Temperate Bush fruit and berries,3972,7972,,
112,Eastern Cool Temperate Row Crop,3974,7974,,
113,Eastern Cool Temperate Close Grown Crop,3975,7975,,
114,Eastern Cool Temperate Fallow/Idle Cropland,3976,7976,,
115,Eastern Cool Temperate Pasture and Hayland,3977,7977,,
116,Eastern Cool Temperate Wheat,3978,7978,,
117,Eastern Cool Temperate Aquaculture,3979,7979,,
126,Western Warm Temperate Aquaculture,3989,7989,,
127,Eastern Warm Temperate Orchard,3990,7990,,
128,Eastern Warm Temperate Vineyard,3991,7991,,
129,Eastern Warm Temperate Bush fruit and berries,3992,7992,,
130,Eastern Warm Temperate Row Crop,3994,7994,,
131,Eastern Warm Temperate Close Grown Crop,3995,7995,,
132,Eastern Warm Temperate Fallow/Idle Cropland,3996,7996,,
133,Eastern Warm Temperate Pasture and Hayland,3997,7997,,
